month,level_2,value
1975-06,Food Excl Food Serving Services, 
1975-06,Food Serving Services, 
1975-06,Housing & Utilities,38.006
1975-06,Transport,30.369
1975-07,Food,42.739
1975-07,Food Excl Food Serving Services, 
1975-07,Food Serving Services, 
1975-07,Housing & Utilities,38.891
1975-07,Transport,30.407
1975-08,Food,43.078
1975-08,Food Excl Food Serving Services, 
1975-08,Food Serving Services, 
1975-08,Housing & Utilities,38.891
1975-08,Transport,30.407
1975-09,Food,42.653
1975-09,Food Excl Food Serving Services, 
1975-09,Food Serving Services, 
1975-09,Housing & Utilities,40.667
1975-09,Transport,30.438
1975-10,Food,41.842
1975-10,Food Excl Food Serving Services, 
1975-10,Food Serving Services, 
1975-10,Housing & Utilities,40.722
1975-10,Transport,30.438
1975-11,Food,41.891
1975-11,Food Excl Food Serving Services, 
1975-11,Food Serving Services, 
1975-11,Housing & Utilities,41.053
